Reads 100 times per second during 10 seconds (10000 readings)
1. Rotate on X axis, first go down and then go up, finish at the original position
2. Rotate on Y axis, first go left and then go right, finish at the original position
3. Rotate on Z axis, first turn it like it was to touch your right shoulder, then do the
	same for the left shoulder, finish at the original position

%BEGIN%
x = -0.78891, y = -0.0284331, z = -0.00579507, w = -0.613823
x = 0.479965, y = -0.134874, z = -0.038941, w = 0.865983
x = -0.782898, y = -0.382843, z = -0.145899, w = 0.468204
x = 0.384982, y = 0.35018, z = 0.155024, w = -0.839721
x = 0.953638, y = 0.235724, z = 0.0909338, w = -0.163523
x = -0.982853, y = -0.171327, z = -0.063889, w = 0.0237691
x = -0.865627, y = -0.200438, z = -0.0868378, w = 0.450526
x = 0.561039, y = -0.0406372, z = -0.0298229, w = 0.826253
x = 0.124394, y = -0.172607, z = -0.124821, w = 0.969099
x = -0.947868, y = -0.268121, z = -0.170963, w = -0.0206953
x = -0.887149, y = -0.17491, z = -0.109786, w = -0.412699
x = -0.725722, y = -0.495172, z = -0.443809, w = -0.176539
x = -0.779298, y = 0.0997494, z = 0.128896, w = -0.605087
x = 0.175274, y = -0.692048, z = -0.642557, w = 0.278333
x = 0.809128, y = 0.113938, z = 0.0692895, w = 0.572301
x = 0.356804, y = 0.721031, z = 0.531337, w = 0.265493
x = 0.556131, y = 0.510523, z = 0.292979, w = 0.586726
x = 0.858804, y = -0.0689882, z = -0.0435162, w = 0.50577
x = -0.715393, y = 0.373851, z = 0.176023, w = 0.563439
x = 0.981258, y = -0.0686871, z = -0.0428323, w = 0.174874
x = 0.606583, y = -0.182759, z = -0.0791788, w = -0.769667
x = -0.640772, y = -0.0813431, z = -0.0293587, w = -0.762845
x = -0.752553, y = 0.130649, z = 0.0315258, w = 0.644671
x = 0.97019, y = -0.0619304, z = 0.000443477, w = -0.234297
x = -0.713774, y = -0.0591432, z = -0.0132066, w = -0.697749
x = -0.889298, y = -0.0353714, z = -0.0166405, w = -0.455655
x = 0.737106, y = 0.0514642, z = 0.0118601, w = 0.673711
x = -0.214576, y = -0.0515709, z = 0.00219239, w = -0.975342
x = 0.0253841, y = -0.027985, z = 0.00339097, w = -0.99928
x = -0.998329, y = -0.0445408, z = -0.0141919, w = 0.0339807
x = 0.69337, y = 0.045451, z = 0.011089, w = 0.719061
x = -0.822323, y = -0.0210647, z = -0.0344314, w = 0.567588
x = 0.986021, y = 0.028053, z = 0.0523194, w = -0.155685
x = 0.675268, y = 0.0502, z = 0.00216412, w = 0.735859
x = 0.997532, y = 0.0132001, z = 0.0657263, w = 0.0208832
x = -0.42948, y = -0.0634988, z = 0.0232412, w = -0.900541
x = 0.906019, y = 0.031315, z = 0.0331639, w = 0.420772
x = -0.675843, y = 0.0477362, z = -0.0636848, w = 0.732735
x = -0.124752, y = -0.0685309, z = 0.0170557, w = -0.989671
x = 0.532704, y = -0.05096, z = 0.0110042, w = -0.844694
x = -0.0253038, y = 0.0610754, z = 0.00665073, w = 0.99779
x = -0.690844, y = 0.0231062, z = 0.0099169, w = 0.722567
x = 0.653161, y = 0.0510879, z = 0.00989386, w = 0.755429
x = -0.845684, y = -0.0176569, z = 0.00684206, w = 0.533347
x = -0.988833, y = -0.0456768, z = -0.00453045, w = -0.14178
x = 0.13784, y = -0.0286133, z = -0.015766, w = -0.989916
x = -0.708836, y = -0.0500873, z = -0.00887538, w = -0.703537
x = -0.507156, y = -0.0498453, z = -0.0120767, w = -0.860327
x = -0.867115, y = 0.0108367, z = 0.00616111, w = 0.497951
x = 0.182328, y = -0.0524933, z = -0.00803936, w = -0.981803
x = 0.113156, y = 0.0620729, z = 0.00467189, w = 0.991625
x = 0.119682, y = -0.0580848, z = -0.00129818, w = -0.991111
x = 0.984386, y = 0.000248043, z = 0.00782605, w = -0.175847
x = -0.31994, y = -0.0589453, z = -0.00933403, w = -0.945556
x = 0.279918, y = -0.067313, z = -0.00883978, w = -0.95762
x = -0.468411, y = -0.0598816, z = -0.00956781, w = -0.881427
x = -0.313885, y = -0.0698173, z = -0.0069935, w = -0.946865
x = 0.647343, y = -0.0770394, z = 0.0149555, w = -0.758148
x = -0.98902, y = 0.0106868, z = -0.0300557, w = -0.144296
x = -0.616582, y = -0.049706, z = -0.0130072, w = -0.785612
x = 0.436364, y = 0.0624384, z = 0.00474137, w = 0.897589
x = 0.232113, y = -0.0790692, z = 0.0260525, w = -0.96912
x = -0.867682, y = 0.0547596, z = -0.041983, w = 0.492308
x = -0.504955, y = -0.0580007, z = -0.00714963, w = -0.861165
x = -0.337719, y = 0.0852593, z = -0.00859586, w = 0.937338
x = 0.774945, y = 0.0264651, z = 0.00805676, w = 0.631423
